2026-05-24 16:03:53.268 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:229 - 加载配置文件
2026-05-24 16:04:44.047 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:229 - 加载配置文件
2026-05-24 16:06:00.453 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:229 - 加载配置文件
2026-05-24 16:06:42.459 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:229 - 加载配置文件
2026-05-24 16:07:24.606 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:229 - 加载配置文件
2026-05-24 16:07:24.633 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:234 - 保存表信息到meta数据库
2026-05-24 16:07:51.233 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:238 - 为字段信息建立向量索引
2026-05-24 16:07:51.622 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:242 - 为字段取值建立全文索引
2026-05-24 16:07:51.629 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:248 - 保存指标信息到meta数据库
2026-05-24 16:07:54.864 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:252 - 为指标信息建立向量索引
2026-05-24 16:07:54.864 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:254 - 元数据知识库构建完成
2026-05-24 16:08:40.604 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.extract_keywords:extract_keywords:39 - 抽取关键字: ['总金额', '查询', '查询所有订单的总金额', '订单']
2026-05-24 16:08:47.124 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_metric:recall_metric:38 - 召回指标信息扩展关键词：['订单金额', '交易总额', '销售总额', '订单总额', 'GMV', '查询', '查询所有订单的总金额', '交易金额', '订单总金额', '成交额', '总金额', '订单']
2026-05-24 16:08:50.274 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_value:recall_value:45 - 召回字段取值扩展关键词：['总金额', '查询', '查询所有订单的总金额', '订单']
2026-05-24 16:08:50.342 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_metric:recall_metric:50 - 召回指标信息：['GMV', 'AOV']
2026-05-24 16:08:50.343 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_value:recall_value:60 - 召回字段取值：[]
2026-05-24 16:08:53.469 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_column:recall_column:47 - 召回字段信息扩展关键词：['订单金额', '订单编号', '查询', '查询所有订单的总金额', '总金额', '订单']
2026-05-24 16:08:55.027 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.recall_column:recall_column:66 - 召回字段信息：['fact_order.order_amount', 'fact_order.order_quantity', 'fact_order.order_id', 'fact_order.date_id']
2026-05-24 16:08:55.040 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:89 - 合并召回信息: 表信息-['fact_order'],指标信息-['GMV', 'AOV']
2026-05-24 16:08:56.842 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.filter_metric:filter_metric:37 - 过滤后的指标: ['GMV']
2026-05-24 16:08:59.719 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.filter_table:filter_table:52 - 过滤后的表信息: ['fact_order']
2026-05-24 16:08:59.725 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.add_extra_context:add_extra_context:33 - 额外上下文信息：数据库信息-{'version': '8.0.45', 'dialect': 'mysql'} 日期信息-{'date': '2026-05-24', 'weekday': 'Sunday', 'quarter': 'Q2'}
2026-05-24 16:09:04.498 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.generate_sql:generate_sql:43 - 生成的SQL: SELECT SUM(order_amount) FROM fact_order;
2026-05-24 16:09:04.502 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.validate_sql:validate_sql:20 - SQL验证成功: SELECT SUM(order_amount) FROM fact_order;
2026-05-24 16:09:04.504 | INFO     | request_id - f1e4dabd-d4eb-4c24-bc63-9c7e46330f43 | app.agent.nodes.execute_sql:execute_sql:21 - 执行SQL结果: [{'SUM(order_amount)': Decimal('48191.00')}]
2026-05-24 16:11:00.473 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.extract_keywords:extract_keywords:39 - 抽取关键字: ['总金额', '查询', '查询所有订单的总金额', '订单']
2026-05-24 16:11:06.481 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_metric:recall_metric:38 - 召回指标信息扩展关键词：['订单金额', '交易总额', '销售总额', '订单总额', 'GMV', '查询', '查询所有订单的总金额', '交易金额', '订单总金额', '成交额', '总金额', '订单']
2026-05-24 16:11:07.132 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_column:recall_column:47 - 召回字段信息扩展关键词：['订单金额', '查询', '查询所有订单的总金额', '总金额', '订单']
2026-05-24 16:11:09.497 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_column:recall_column:66 - 召回字段信息：['fact_order.order_amount', 'fact_order.order_quantity', 'fact_order.order_id']
2026-05-24 16:11:10.270 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_value:recall_value:45 - 召回字段取值扩展关键词：['总金额', '查询', '查询所有订单的总金额', '订单']
2026-05-24 16:11:10.288 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_value:recall_value:60 - 召回字段取值：[]
2026-05-24 16:11:10.772 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.recall_metric:recall_metric:50 - 召回指标信息：['GMV', 'AOV']
2026-05-24 16:11:10.778 | INFO     | request_id - 7cd84daa-0660-4075-8fc5-2abaa40f5951 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:89 - 合并召回信息: 表信息-['fact_order'],指标信息-['GMV', 'AOV']
